animalId,animalName,animalType,animalGender,animalBreed,animalColor,address,isDead
A516440,,Dog,,Rough Collie,Brown / White,216TH ST AND ISSAQUAH HOBART RD,
A515157,Summit,Dog,Female,Labrador Retriever,Unknown,2600 NW 56TH ST,
A515178,,Dog,Female,German Shepherd,Black,SE 256TH AND 124TH AVE SE INTERSECTION,
A513716,Quincy,Dog,Female,Golden Retriever,Unknown,18700 EDGECLIFF DR SW,
A515179,,Dog,Male,Pit Bull,Brown / White,SHOREWOOD HS N 170TH AND FREMONT AVE N,
A515689,White Kitty,Cat,Female,American Shorthair,Unknown,SE 177TH PL,
A515745,Sparky,Dog,Male,German Shepherd,Unknown,26830 86TH AVE S,
A514742,,Dog,Female,American Pit Bull Terrier,White,FACTORIA MALL,
A514479,Appolo,Dog,Male,Shiba Inu,Unknown,6600 NE 202ND ST,
A514901,,Cat,Male,Domestic Longhair,Unknown,16300 LINDEN AVE N,
A516057,,Dog,Male,Shih Tzu,White / White,10611 39TH SW,
A516229,Angel,Dog,Female,Labrador Retriever,Unknown,16TH NE LANE,
A515172,Hunter,Dog,Male,Beagle,Unknown,32200 39TH AVE S,
A513899,Yukidama,Cat,Female,Turkish Angora,Unknown,CUL DE SAC OF 116TH/MERIDIAN,
A516455,Bonk,Cat,Male,Domestic Shorthair,Unknown,7400 COTTONWOOD DR SE,
A515698,Sugar,Cat,Male,American Shorthair,Unknown,SW 304TH IN YARD OF HOME,
A516390,Aslan,Dog,Male,Maltese,Unknown,7000 20TH AVE NE,
A515570,,Dog,Female,Toy Poodle,White,4200 137TH AVE NE,
A516138,,Dog,,Rottweiler,Black / Brown,1000 258TH AVE NE,
A514478,,Dog,,Australian Shepherd,White / Black,176TH AVE SE AND SE 295TH ST,
A515144,Summit,Dog,Female,Labrador Retriever,Unknown,105TH AND 8TH AVE NW,
A514692,Biff,Dog,Male,Brittany,Unknown,8100 NE 141ST ST,
A513753,,Dog,,Toy Poodle,Black,1200 N 152ND ST,
A515129,Tennessee,Dog,Male,Golden Retriever,Unknown,2800 NE LOGAN ST,
A515799,,Dog,Male,Brittany,Brown / White,00 4TH AVE S,
A515142,,Dog,Male,Pomeranian,Brown / White,11020 SE KENT KANGLEY RD APT CC202,
A516075,Brodie,Cat,Male,American Shorthair,Unknown,14900 97TH AVE E,
A515153,,Dog,Male,Chihuahua - Smooth Coated,White,,
A514727,Sootie,Cat,,Domestic Mediumhair,Unknown,5700 200TH ST SW,
A514913,Rust,Dog,Male,Dachshund - Long-Haired,Unknown,152ND AND KENT KANGLEY,
A515090,Rosie,Cat,Female,Domestic Shorthair,Unknown,2800 S 148TH ST,
A515151,,Dog,Male,German Shepherd / Mix,Brown,2100 N 161ST PL,
A516116,Gemma,Cat,Female,Domestic Shorthair,Unknown,15200 263RD AVE SE,
A513745,,Dog,Male,Miniature Poodle,White,,
A514667,Mimi,Cat,Male,Bombay,Unknown,21200 SE 34TH ST,
A515929,,Dog,Male,Miniature Poodle,Black / Black,,
A514958,,Cat,Male,Maine Coon,Black / Brown,,
A513752,,Cat,Male,Domestic Longhair,Unknown,3300 WARD CT,
A515690,Lily,Cat,Female,Domestic Shorthair,Unknown,6700 121ST PL SE,
A516137,Corah,Cat,Female,Maine Coon,Unknown,,
A516056,,Dog,Female,Miniature Schnauzer,White,10611 39TH SW,
A513737,Charlie,Dog,Male,Labrador Retriever,Unknown,33000 37TH CT SW,
A515565,Doc Holliday,Cat,Male,Russian Blue,Unknown,14TH AVE S AND S 270TH ST,
A515010,Gosha,Cat,Male,Siamese,Unknown,228TH AVE NE,
A516925,Stubby,Cat,Male,Egyptian Mau,Unknown,HOLDEN SW,
A517331,Fiyero,Dog,Male,Yorkshire Terrier,Unknown,KENMORE,
A517333,Bob,Dog,Male,Cardigan Welsh Corgi,Unknown,16135 SE 145TH PL,
A517334,Mia,Dog,Female,Chihuahua - Smooth Coated,Unknown,16135 SE 145TH PL,
A516615,Penny,Cat,Female,Siamese,Unknown,16045 147TH PL NE,
A516725,Sulu,Cat,Male,Domestic Shorthair,Unknown,"6450 NE 186TH ST KENMORE, WA",
A517168,,Cat,Male,Domestic Shorthair,White,5107 MACBETH DRIVE,
A517162,Ekko,Dog,Female,Labrador Retriever,Unknown,N. 30TH ST AND FIR STREET,
A516540,,Dog,Male,Standard Schnauzer,Unknown,,
A516786,Buddy,Cat,Male,Domestic Shorthair,Unknown,7800 NE 28TH ST,
A516691,,Dog,Female,Pug,Brown,21215 INTERNATIONAL BLVD,
A517279,Princess,Dog,Female,Shih Tzu,Unknown,SE 192ND NEAR SOOS CREEK AND BENSON HILL,
A517164,,Cat,Female,Domestic Shorthair,Brown / Black,,
A517301,Cody,Dog,Male,Australian Shepherd,Unknown,POSS. SEEN SE 208 ST/ISSA-HOBART RD,
A517147,,Cat,Female,Domestic Mediumhair,Unknown,,
A516692,Pinky,Dog,Female,Whippet,Unknown,14106 NE 62ND ST,
A516896,Doki,Dog,Male,Yorkshire Terrier,Unknown,S 278TH ST,
A517166,,Dog,Male,Labrador Retriever,Black,NE 103RD CT AND 181ST AVE NE.,
A517105,Cornelius,Dog,Male,Yorkshire Terrier,Unknown,MARYMOORE PARK,
A516899,Buddy,Cat,Male,Domestic Shorthair,Unknown,4527 172ND AVE SE,
A516718,Sulu,Cat,Male,Domestic Shorthair,Unknown,6450 NE 186TH ST,
A517065,Ralph,Cat,Male,Domestic Mediumhair,Unknown,18530 SE 258TH,
A517120,Cody,Dog,Male,Australian Shepherd,Unknown,216TH AVE SE WOODS ABOVE CEDAR RIVER,
A517276,Tigger,Cat,Neutered Male,Domestic Shorthair,Brn Tabby,24600 RUSSELL RD S,
A514734,Sweetman,Cat,Neutered Male,Domestic Longhair,Brn Tabby / White,19600 SE 260TH ST,
A516997,Miss Kitty,Cat,Spayed Female,Domestic Shorthair,Black / White,3000 S 204TH ST,
A512409,Quincy,Cat,Neutered Male,Domestic Shorthair,Black,23900 SE KENT KANGLEY RD,
A516266,Angel,Cat,Spayed Female,Domestic Shorthair,Brn Tabby,12040 NE 85TH ST,
A517137,Frankie,Cat,Neutered Male,Domestic Shorthair,Org Tabby,12040 NE 85TH ST,
A515665,Moby,Dog,Neutered Male,Chihuahua - Smooth Coated,Tricolor,1000 CENTRAL AVE N,
A500367,Norma,Cat,Spayed Female,Domestic Shorthair,Dilute Tor,21615 64TH AVE S,
A516374,,Cat,Neutered Male,Domestic Shorthair,Black / White,3100 HUNTER CT,
A503767,Oly,Cat,Neutered Male,Domestic Shorthair,Org Tabby,,
A517000,Obie,Cat,Male,Domestic Shorthair,Unknown,84TH AVE NE & NE 138TH ST,
A516863,Liam,Cat,Male,Domestic Shorthair,Unknown,CORNER OF 109TH PL NE & NE 45TH ST,
A517103,,Cat,Neutered Male,Domestic Shorthair,Gray / White,23700 111TH PL SE,
A516118,Cutie,Cat,Spayed Female,American Shorthair,Black,10000 18TH AVE SW,
A517022,,Cat,Female,Domestic Shorthair,Gray,21600 64TH AVE S,
A516982,Atty,Cat,Spayed Female,Domestic Shorthair,Brn Tabby,,
A516386,Kingsly,Cat,Neutered Male,Domestic Shorthair,Black,,
A516739,,Bird,Female,Chicken,White / Black,21600 64TH AVE S,
A515789,,Cat,Neutered Male,Domestic Shorthair,Blk Smoke,,
A515112,Cloud,Rabbit,Spayed Female,Rabbit,White,,
A516796,,Cat,Spayed Female,Domestic Shorthair,Brn Tabby / White,28200 SE 424TH ST,
A516009,,Cat,Spayed Female,Domestic Shorthair,Brn Tabby / Tortie,16800 34TH AVE S,
A517034,Lacey,Dog,Spayed Female,Chihuahua - Smooth Coated,Brown / Black,23300 100TH AVE SE,
A507893,Vera,Cat,Spayed Female,Domestic Shorthair,Brn Tabby,10000 18TH AVE SW,
A407026,Kiki,Cat,Spayed Female,Domestic Shorthair,Black,21615 64TH AVE S,
A516106,,Cat,Male,Domestic Shorthair,Black,15400 53RD AVE S,TRUE
